Age,Gender,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating,CompanyExperienceShare,RoleStabilityScore,EducationBackground_grouped,EmpDepartment_grouped,EmpJobRole_grouped,CommuteCategory_Moderate,CommuteCategory_Far,MaritalStatus_Married,MaritalStatus_Single,PromotionWaitTime_Moderate,PromotionWaitTime_Long,BusinessTravelFrequency_Travel_Frequently,BusinessTravelFrequency_Travel_Rarely
40,1,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,2,3,0,4,0.8,0.5,Medical,Development,Developer,False,False,False,True,True,False,False,True
27,1,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0,7,0,3,0.7777777777777778,0.8571428571428571,Medical,Development,Developer,True,False,False,True,False,False,False,True
29,0,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,2,2,0,3,1.0,1.0,Marketing,Sales,Sales Representative,True,False,False,False,True,False,False,True
53,0,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,2,2,0,3,0.10526315789473684,1.0,Life Sciences,Development,Developer,True,False,False,True,True,False,False,True
35,1,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0,0,0,3,0.0625,0.0,Life Sciences,Development,Senior Developer,False,False,False,False,False,False,False,False
32,0,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,4,7,0,3,1.0,0.8,Life Sciences,Development,Developer,False,True,True,False,True,False,True,False
34,1,8,5,2,32,3,2,1,3,0,14,3,7,3,3,0,0,0,0,0,3,0.0,0.0,Life Sciences,Development,Developer,True,False,False,False,False,False,False,True
52,0,3,4,3,31,2,4,1,1,0,11,1,34,3,4,34,6,1,16,0,4,1.0,0.17647058823529413,Marketing,Sales,Manager,False,False,True,False,False,False,False,True
33,0,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,7,8,1,3,1.0,0.9,Other,Development,Developer,False,False,False,True,False,True,False,True
25,1,26,1,3,32,3,2,4,1,0,23,2,6,5,2,6,5,1,4,0,4,1.0,0.8333333333333334,Medical,Sales,Sales Executive,False,True,False,True,False,False,False,True
45,0,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,3,1,0,3,0.8888888888888888,0.875,Other,Sales,Sales Representative,False,False,False,True,True,False,False,True
23,0,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0,2,0,3,1.0,1.0,Medical,Development,Developer,True,False,False,True,False,False,False,True
47,1,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,1,3,1,3,0.625,0.8,Life Sciences,Sales,Sales Executive,False,True,False,True,False,False,True,False
34,0,2,3,4,60,3,2,4,1,0,22,3,6,5,3,6,5,1,4,0,4,1.0,0.8333333333333334,Other,Sales,Sales Executive,False,False,False,True,False,False,False,True
36,0,8,4,1,76,2,3,1,1,0,15,2,10,1,3,10,7,0,9,0,3,1.0,0.7,Life Sciences,Sales,Sales Executive,True,False,False,True,False,False,False,False
52,0,19,4,4,41,3,1,4,0,0,18,1,5,3,3,4,3,1,2,0,3,0.8,0.75,Medical,Development,Developer,False,True,True,False,False,False,False,False
26,1,1,2,1,71,1,1,4,3,0,14,1,5,2,3,2,2,2,0,0,3,0.4,1.0,Life Sciences,Development,Developer,False,False,False,False,True,False,True,False
29,1,27,3,2,66,3,2,3,4,0,12,1,11,3,2,8,7,1,1,0,3,0.7272727272727273,0.875,Medical,Development,Developer,False,True,True,False,False,False,False,True
26,0,8,3,4,38,2,2,1,6,0,17,3,6,2,2,4,3,1,2,1,3,0.6666666666666666,0.75,Other,Sales,Sales Executive,True,False,False,True,False,False,False,True
34,1,1,4,2,72,4,1,4,2,0,16,3,10,2,3,4,2,1,3,0,3,0.4,0.5,Life Sciences,Development,Developer,False,False,False,True,False,False,False,True
54,1,19,4,4,95,3,2,1,9,1,11,2,9,4,3,5,3,1,4,0,3,0.5555555555555556,0.6,Medical,Development,Developer,False,True,False,False,False,False,False,True
27,0,8,1,3,84,3,2,4,0,0,19,2,5,3,3,4,2,1,1,0,3,0.8,0.5,Marketing,Sales,Sales Executive,True,False,True,False,False,False,True,False
37,1,10,1,4,82,3,1,1,0,1,13,2,6,3,2,5,3,4,3,0,3,0.8333333333333334,0.6,Life Sciences,Development,Developer,True,False,False,False,True,False,False,True
38,1,2,4,1,75,4,2,1,6,1,12,4,17,2,3,15,7,4,12,0,3,0.8823529411764706,0.4666666666666667,Life Sciences,Development,Developer,False,False,False,True,True,False,True,False
34,1,2,4,3,86,2,1,1,1,0,11,3,6,3,3,6,5,1,3,0,3,1.0,0.8333333333333334,Medical,Development,Developer,False,False,False,True,False,False,False,True
35,1,8,4,1,72,3,1,4,1,0,16,2,3,1,2,3,2,0,2,0,3,1.0,0.6666666666666666,Life Sciences,Sales,Sales Representative,True,False,True,False,False,False,False,True
40,1,2,2,3,38,4,2,2,1,0,24,4,8,2,3,8,7,3,7,0,4,1.0,0.875,Medical,Development,Developer,False,False,True,False,True,False,True,False
34,1,8,2,3,93,3,2,1,5,0,17,2,6,1,3,3,2,1,2,0,3,0.5,0.6666666666666666,Life Sciences,Sales,Sales Executive,True,False,True,False,False,False,False,True
24,0,9,3,3,60,2,1,2,1,0,11,3,1,4,3,1,0,0,0,0,3,1.0,0.0,Life Sciences,Development,Senior Developer,True,False,False,False,False,False,False,False
52,1,11,4,4,82,3,2,3,8,0,20,2,9,3,3,5,2,1,4,0,4,0.5555555555555556,0.4,Life Sciences,Development,Senior Developer,True,False,True,False,False,False,False,True
50,0,2,3,3,64,3,4,3,5,0,16,4,30,3,3,4,3,0,3,0,3,0.13333333333333333,0.75,Medical,Development,Developer,False,False,True,False,False,False,False,True
29,1,1,2,2,36,2,1,1,1,1,11,4,1,1,3,1,0,0,0,1,3,1.0,0.0,Life Sciences,Development,Developer,False,False,True,False,False,False,False,True
33,0,7,3,3,49,3,3,3,0,0,11,4,14,3,4,13,9,3,7,0,3,0.9285714285714286,0.6923076923076923,Medical,Development,Developer,True,False,True,False,True,False,False,True
33,1,16,3,1,69,3,2,1,5,0,15,3,6,3,3,3,2,0,2,1,3,0.5,0.6666666666666666,Marketing,Sales,Sales Executive,False,True,False,True,False,False,False,True
47,1,2,2,3,33,3,4,4,1,1,11,3,26,3,2,26,14,3,0,0,3,1.0,0.5384615384615384,Other,Development,Developer,False,False,True,False,True,False,False,True
36,1,1,3,3,35,3,2,2,0,0,15,1,10,2,3,9,7,0,5,0,3,0.9,0.7777777777777778,Other,Development,Developer,False,False,True,False,False,False,False,True
29,0,23,2,3,81,4,1,3,1,0,24,3,10,3,3,10,7,0,7,0,4,1.0,0.7,Life Sciences,Development,Senior Developer,False,True,True,False,False,False,False,True
35,1,1,4,4,40,4,1,3,3,0,13,3,7,0,3,2,2,2,2,0,3,0.2857142857142857,1.0,Life Sciences,Development,Senior Developer,False,False,False,True,True,False,False,True
42,1,1,2,4,43,2,2,4,9,1,13,4,8,4,3,4,3,0,2,0,3,0.5,0.75,Life Sciences,Development,Developer,False,False,True,False,False,False,False,True
28,0,2,4,3,46,3,1,3,6,0,17,4,5,3,2,2,2,2,1,1,3,0.4,1.0,Medical,Development,Developer,False,False,False,True,True,False,False,True
36,0,13,3,3,36,3,1,2,4,0,13,2,8,2,3,5,2,0,4,0,3,0.625,0.4,Other,SmallDepts,Human Resources,True,False,True,False,False,False,False,True
40,0,16,4,1,51,2,2,3,6,0,14,4,10,6,3,1,0,0,0,0,3,0.1,0.0,Medical,Development,Developer,False,True,False,True,False,False,True,False
30,1,2,3,3,52,2,2,4,5,1,24,2,12,4,2,0,0,0,0,0,4,0.0,0.0,Medical,Development,Developer,False,False,False,True,False,False,False,True
45,1,2,3,2,95,2,1,3,1,0,14,4,1,3,3,1,0,0,0,0,3,1.0,0.0,Life Sciences,Development,Developer,False,False,False,True,False,False,False,True
42,0,29,3,2,98,3,2,2,1,0,13,4,10,3,2,9,8,7,8,0,3,0.9,0.8888888888888888,Life Sciences,Development,Developer,False,True,True,False,False,True,False,True
38,0,12,3,1,45,2,2,1,2,0,15,3,13,3,2,4,3,1,2,0,3,0.3076923076923077,0.75,Life Sciences,Development,Developer,True,False,False,False,False,False,True,False
49,1,11,3,3,43,3,3,4,1,0,18,1,9,3,4,9,8,7,7,1,3,1.0,0.8888888888888888,Marketing,Sales,Sales Executive,True,False,True,False,False,True,False,True
55,0,2,1,3,37,3,2,4,4,0,16,3,12,3,2,9,7,7,3,1,3,0.75,0.7777777777777778,Medical,Sales,Sales Executive,False,False,False,True,False,True,False,True
43,0,14,2,2,94,3,4,1,6,0,24,3,22,3,3,4,1,1,0,0,3,0.18181818181818182,0.25,Life Sciences,Development,Developer,True,False,True,False,False,False,False,True
27,0,5,1,3,42,2,3,4,1,1,16,2,9,3,3,9,8,0,8,0,3,1.0,0.8888888888888888,Other,Development,Developer,False,False,False,False,False,False,False,True
35,0,7,3,3,59,3,3,3,3,0,21,2,17,3,4,8,5,1,6,0,4,0.47058823529411764,0.625,Other,Development,Developer,True,False,False,True,False,False,False,True
28,1,2,4,2,81,3,2,2,1,1,20,1,8,2,3,8,7,7,5,0,3,1.0,0.875,Marketing,Sales,Sales Executive,False,False,True,False,False,True,False,True
26,1,5,2,3,88,2,1,3,1,1,14,1,8,2,3,8,7,1,7,1,3,1.0,0.875,Medical,Development,Developer,False,False,True,False,False,False,True,False
27,0,3,3,4,50,3,1,4,1,0,11,3,0,6,2,0,0,0,0,0,3,0.0,0.0,Medical,Development,Developer,False,False,True,False,False,False,False,False
51,1,26,4,1,66,3,4,3,2,0,14,3,29,2,2,20,6,4,17,0,3,0.6896551724137931,0.3,Marketing,Sales,Manager,False,True,True,False,True,False,False,True
44,0,4,3,4,50,3,2,2,9,0,12,4,10,2,2,5,2,2,3,0,3,0.5,0.4,Medical,Development,Developer,False,False,False,True,True,False,False,True
25,0,2,1,1,65,4,1,1,7,0,13,3,6,3,2,4,3,0,1,0,3,0.6666666666666666,0.75,Medical,Development,Developer,False,False,False,True,False,False,False,True
35,1,27,1,3,53,2,1,1,1,0,11,4,6,3,2,6,5,1,1,0,3,1.0,0.8333333333333334,Medical,Development,Senior Developer,False,True,False,True,False,False,False,True
36,0,1,2,2,56,3,2,4,1,1,14,4,18,1,2,18,14,4,11,0,3,1.0,0.7777777777777778,Life Sciences,Sales,Sales Executive,False,False,True,False,True,False,False,True
53,1,7,2,1,78,2,3,4,7,1,18,4,35,3,3,5,2,0,4,0,3,0.14285714285714285,0.4,Marketing,Sales,Sales Executive,True,False,True,False,False,False,False,True
45,0,9,3,4,74,3,3,1,4,1,12,3,18,2,3,5,4,0,2,0,3,0.2777777777777778,0.8,Marketing,Sales,Sales Executive,True,False,False,False,False,False,False,True
32,1,8,2,3,91,4,2,3,5,0,12,3,9,3,2,5,3,1,3,0,3,0.5555555555555556,0.6,Medical,Development,Developer,True,False,True,False,False,False,False,True
37,0,16,4,4,66,2,2,3,4,0,19,4,9,2,3,1,0,0,0,0,3,0.1111111111111111,0.0,Marketing,Sales,Sales Executive,False,True,False,False,False,False,False,True
28,0,8,2,2,63,2,1,4,1,0,13,4,6,6,3,5,1,0,4,0,3,0.8333333333333334,0.2,Medical,SmallDepts,Human Resources,True,False,False,False,False,False,False,True
22,0,1,2,4,33,2,2,4,6,0,22,1,4,2,1,2,2,2,2,0,3,0.5,1.0,Life Sciences,Development,Senior Developer,False,False,True,False,True,False,False,True
44,0,8,4,1,62,4,1,4,2,1,24,3,10,2,2,3,2,0,2,0,3,0.3,0.6666666666666666,Life Sciences,Development,Developer,True,False,True,False,False,False,False,True
42,0,2,1,2,35,3,1,4,5,1,14,4,8,2,3,2,1,2,2,0,3,0.25,0.5,Medical,Development,Senior Developer,False,False,False,True,True,False,True,False
36,0,8,3,1,77,2,1,1,0,0,21,3,6,3,3,5,4,0,3,0,3,0.8333333333333334,0.8,Life Sciences,SmallDepts,Human Resources,True,False,True,False,False,False,False,True
25,0,3,1,3,98,3,2,1,1,1,18,4,5,3,3,5,3,0,3,0,3,1.0,0.6,Other,Sales,Sales Executive,False,False,True,False,False,False,False,True
35,1,25,4,4,96,3,1,2,1,1,19,1,10,3,2,10,2,7,8,1,3,1.0,0.2,Life Sciences,Development,Developer,False,True,False,False,False,True,True,False
32,0,1,3,4,61,3,1,4,0,0,12,2,4,2,3,3,0,0,2,0,3,0.75,0.0,Life Sciences,Development,Developer,False,False,False,False,False,False,False,False
49,1,1,3,3,36,3,1,1,2,0,16,2,7,2,3,4,2,0,2,0,3,0.5714285714285714,0.5,Other,SmallDepts,Data Scientist,False,False,True,False,False,False,False,True
24,0,4,1,1,46,2,1,4,0,0,17,4,6,2,2,5,2,3,4,0,3,0.8333333333333334,0.4,Life Sciences,Development,Senior Developer,False,False,True,False,True,False,False,False
32,0,5,2,2,48,3,2,2,1,0,14,4,10,3,3,10,8,5,3,0,3,1.0,0.8,Life Sciences,Sales,Sales Executive,False,False,True,False,False,True,True,False
38,0,9,3,2,98,2,1,2,0,0,19,4,3,3,3,2,2,1,2,0,3,0.6666666666666666,1.0,Marketing,Sales,Sales Representative,True,False,True,False,False,False,False,True
31,0,11,4,4,48,3,1,4,3,1,19,2,8,2,3,6,4,0,2,0,3,0.75,0.6666666666666666,Life Sciences,Development,Senior Developer,True,False,True,False,False,False,False,True
53,0,8,3,1,73,3,4,4,5,0,14,3,28,3,3,2,0,2,2,0,3,0.07142857142857142,0.0,Marketing,Sales,Sales Executive,True,False,True,False,True,False,False,True
37,1,21,2,3,54,3,1,4,5,0,15,2,10,3,3,5,4,0,0,0,3,0.5,0.8,Medical,Sales,Sales Representative,False,True,True,False,False,False,True,False
53,1,23,4,4,72,3,4,4,6,0,18,3,33,0,3,12,9,3,8,0,3,0.36363636363636365,0.75,Life Sciences,Development,Developer,False,True,False,True,True,False,False,True
43,1,1,3,4,33,3,2,4,4,0,13,2,12,2,2,5,2,2,2,0,3,0.4166666666666667,0.4,Life Sciences,Development,Developer,False,False,True,False,True,False,True,False
47,1,2,2,3,35,3,2,4,0,1,22,1,8,2,3,7,6,7,7,0,4,0.875,0.8571428571428571,Marketing,Sales,Sales Executive,False,False,True,False,False,True,False,True
37,0,19,2,1,32,3,3,2,1,1,13,4,10,2,3,10,0,0,9,0,3,1.0,0.0,Medical,Sales,Sales Executive,False,True,False,True,False,False,False,False
50,0,2,4,1,98,3,4,1,1,0,11,4,31,3,3,31,6,14,7,0,3,1.0,0.1935483870967742,Life Sciences,Development,Developer,False,False,False,False,False,True,False,False
39,1,2,3,4,42,2,2,4,8,0,11,3,13,2,3,5,4,0,4,0,3,0.38461538461538464,0.8,Life Sciences,SmallDepts,Human Resources,False,False,True,False,False,False,False,True
33,0,3,2,4,57,3,1,2,3,1,11,3,7,4,4,4,3,0,3,0,3,0.5714285714285714,0.75,Other,SmallDepts,Human Resources,False,False,False,False,False,False,False,True
32,0,25,4,1,87,3,1,4,1,1,24,3,1,2,1,1,0,0,1,1,3,1.0,0.0,Life Sciences,Development,Developer,False,True,False,True,False,False,False,True
44,0,9,2,2,61,3,1,1,1,1,13,4,8,0,3,8,7,7,1,0,3,1.0,0.875,Life Sciences,Development,Developer,True,False,True,False,False,True,False,True
58,0,2,1,4,57,2,1,4,9,1,14,4,3,3,2,1,0,0,0,1,3,0.3333333333333333,0.0,Life Sciences,Development,Developer,False,False,False,False,False,False,True,False
20,1,2,3,3,49,2,1,3,1,0,13,4,2,3,2,2,2,0,2,1,3,1.0,1.0,Medical,Sales,Sales Representative,False,False,False,True,False,False,False,True
21,1,18,1,4,65,3,1,4,1,0,19,1,1,3,2,1,0,0,0,1,3,1.0,0.0,Other,SmallDepts,Data Scientist,False,True,False,True,False,False,False,True
36,0,14,1,3,68,3,2,4,0,1,17,1,17,2,2,16,8,4,11,0,3,0.9411764705882353,0.5,Life Sciences,SmallDepts,Data Scientist,True,False,True,False,True,False,False,True
47,1,2,4,4,65,2,1,4,1,1,18,1,3,3,2,3,2,1,2,0,3,1.0,0.6666666666666666,Life Sciences,Sales,Sales Representative,False,False,False,True,False,False,False,True
22,1,3,1,2,34,3,2,3,0,1,19,1,4,3,4,3,2,0,2,1,3,0.75,0.6666666666666666,Life Sciences,Development,Developer,False,False,True,False,False,False,False,True
28,1,9,3,3,77,3,1,3,5,0,18,2,6,2,3,2,2,2,2,0,3,0.3333333333333333,1.0,Medical,Development,Developer,True,False,False,False,True,False,False,True
39,0,6,3,4,70,3,1,1,7,1,21,4,8,2,1,2,2,2,2,1,3,0.25,1.0,Medical,Development,Senior Developer,True,False,True,False,True,False,False,True
27,1,4,3,2,76,3,1,3,1,0,19,3,1,2,3,1,1,0,0,0,3,1.0,1.0,Life Sciences,Development,Developer,False,False,False,True,False,False,False,True
34,0,10,3,2,83,3,1,2,1,0,14,2,1,3,3,1,0,1,0,0,3,1.0,0.0,Life Sciences,Development,Developer,True,False,False,False,False,False,False,True
42,1,14,2,3,68,2,2,3,7,0,17,1,10,6,3,5,4,0,3,0,3,0.5,0.8,Medical,Sales,Sales Executive,True,False,False,True,False,False,False,True
33,0,1,4,3,100,2,1,1,3,1,11,2,6,1,3,3,2,0,2,0,3,0.5,0.6666666666666666,Other,Development,Senior Developer,False,False,False,True,False,False,False,True
58,1,5,3,3,37,2,3,2,2,1,13,4,24,3,3,6,0,0,4,0,3,0.25,0.0,Other,Development,Senior Developer,False,False,False,False,False,False,False,True
31,0,7,4,2,41,2,1,3,3,0,15,2,13,2,4,7,7,5,2,0,3,0.5384615384615384,1.0,Life Sciences,Sales,Sales Representative,True,False,True,False,False,True,False,True
35,1,21,1,4,51,3,2,4,1,1,25,4,10,2,1,10,6,0,7,0,3,1.0,0.6,Life Sciences,Development,Senior Developer,False,True,True,False,False,False,False,True
48,0,20,4,4,51,3,1,3,4,0,17,1,13,2,2,0,0,0,0,0,3,0.0,0.0,Medical,SmallDepts,Data Scientist,False,True,True,False,False,False,False,True
31,1,20,2,4,45,3,2,3,1,0,13,4,9,2,2,9,8,0,0,0,3,1.0,0.8888888888888888,Marketing,Sales,Sales Executive,False,True,True,False,False,False,False,False
36,0,7,4,2,65,3,1,4,2,0,18,3,8,6,3,6,2,0,1,0,3,0.75,0.3333333333333333,Other,Development,Developer,True,False,False,True,False,False,False,True
38,1,1,3,4,80,3,3,1,1,0,13,2,15,3,3,15,12,5,11,0,3,1.0,0.8,Other,Development,Senior Developer,False,False,True,False,False,True,False,True
32,1,1,3,3,70,2,1,2,6,0,20,3,5,3,3,3,0,0,2,0,4,0.6,0.0,Life Sciences,Development,Senior Developer,False,False,True,False,False,False,False,False
25,0,19,2,3,36,2,1,2,1,1,18,3,1,2,3,1,0,0,0,1,3,1.0,0.0,Marketing,Sales,Sales Representative,False,True,True,False,False,False,False,True
41,0,6,3,4,59,3,1,1,2,1,13,3,20,3,3,18,13,2,17,0,3,0.9,0.7222222222222222,Medical,Development,Developer,True,False,False,True,True,False,False,True
36,0,2,4,3,79,3,1,3,4,0,21,3,16,6,3,11,8,3,9,0,4,0.6875,0.7272727272727273,Medical,Development,Developer,False,False,False,True,True,False,False,True
19,0,21,3,4,37,2,1,2,1,1,13,2,1,3,4,1,0,0,0,1,3,1.0,0.0,Other,Sales,Sales Representative,False,True,False,True,False,False,False,True
20,0,4,3,1,84,3,1,1,1,0,19,2,1,2,3,1,0,0,0,1,3,1.0,0.0,Other,Development,Developer,False,False,False,True,False,False,False,True
31,1,12,3,4,41,3,2,4,0,1,11,3,10,2,1,9,7,8,5,0,3,0.9,0.7777777777777778,Medical,Development,Developer,True,False,True,False,False,True,False,True
36,0,3,1,3,51,2,3,4,1,1,11,1,16,6,3,16,7,3,7,1,3,1.0,0.4375,Life Sciences,Sales,Sales Executive,False,False,True,False,True,False,False,True
37,0,1,4,1,46,2,3,3,5,0,11,3,17,2,1,14,1,11,7,1,2,0.8235294117647058,0.07142857142857142,Life Sciences,Sales,Sales Executive,False,False,True,False,False,True,False,True
45,0,4,2,3,57,3,2,2,1,0,12,2,9,5,2,9,7,0,8,0,3,1.0,0.7777777777777778,Life Sciences,Development,Developer,False,False,True,False,False,False,False,False
29,1,20,3,3,84,3,1,4,1,0,15,2,3,5,3,3,1,0,2,0,3,1.0,0.3333333333333333,Other,Sales,Sales Representative,False,True,True,False,False,False,True,False
35,1,18,3,3,86,3,2,3,1,0,16,2,5,3,3,5,2,1,0,0,3,1.0,0.4,Medical,Sales,Sales Executive,False,True,True,False,False,False,False,True
52,0,1,2,4,70,3,4,4,2,0,15,2,26,2,2,9,8,7,8,0,3,0.34615384615384615,0.8888888888888888,Life Sciences,Development,Senior Developer,False,False,True,False,False,True,False,True
53,0,2,2,3,45,3,4,3,6,0,13,3,22,3,4,17,13,15,2,0,3,0.7727272727272727,0.7647058823529411,Medical,Sales,Manager,False,False,False,False,False,True,False,True
30,0,8,2,3,62,3,3,3,5,0,11,1,10,2,4,8,4,7,7,0,3,0.8,0.5,Other,Sales,Sales Executive,True,False,False,False,False,True,False,True
35,0,3,4,4,92,3,3,4,6,0,13,2,12,2,3,10,9,0,8,0,3,0.8333333333333334,0.9,Life Sciences,Sales,Sales Executive,False,False,False,False,False,False,False,True
39,0,2,5,1,41,4,3,3,0,0,18,4,9,3,3,8,7,0,7,0,3,0.8888888888888888,0.875,Life Sciences,Sales,Sales Executive,False,False,False,True,False,False,False,True
40,1,24,3,2,100,4,4,2,4,1,16,4,22,2,2,1,0,0,0,1,3,0.045454545454545456,0.0,Life Sciences,Sales,Sales Executive,False,True,False,True,False,False,False,False
47,0,16,4,3,64,4,2,3,1,1,19,3,20,3,4,19,10,2,7,0,3,0.95,0.5263157894736842,Medical,Development,Senior Developer,False,True,False,False,True,False,True,False
36,0,8,4,1,84,3,2,4,4,0,13,4,12,3,3,7,7,0,7,0,3,0.5833333333333334,1.0,Other,Sales,Sales Executive,True,False,False,False,False,False,False,False
31,0,9,2,3,46,2,1,1,0,1,22,1,4,0,3,3,2,1,2,1,4,0.75,0.6666666666666666,Medical,Development,Developer,True,False,False,True,False,False,False,False
33,0,17,3,4,38,3,4,3,1,0,11,4,10,2,3,10,8,6,0,0,3,1.0,0.8,Life Sciences,Sales,Manager,False,True,False,True,False,True,False,False
29,1,10,3,4,92,2,1,1,6,1,20,3,3,5,3,0,0,0,0,1,4,0.0,0.0,Life Sciences,Development,Developer,True,False,False,True,False,False,False,True
33,1,13,1,2,53,3,1,4,3,0,18,1,5,4,3,3,2,0,2,0,3,0.6,0.6666666666666666,Life Sciences,Development,Developer,True,False,False,True,False,False,False,True
45,1,1,4,4,91,3,1,4,3,0,14,4,8,2,3,5,3,0,2,0,3,0.625,0.6,Medical,Development,Developer,False,False,False,False,False,False,False,True
50,0,1,2,4,66,3,4,4,9,0,22,3,32,1,2,5,4,1,3,0,4,0.15625,0.8,Medical,Development,Senior Developer,False,False,False,False,False,False,False,True
33,1,1,4,3,84,4,2,2,1,1,13,1,6,2,3,6,5,1,2,0,3,1.0,0.8333333333333334,Other,Development,Developer,False,False,True,False,False,False,True,False
41,0,9,3,1,64,3,5,3,2,0,17,2,21,2,4,18,16,0,11,0,3,0.8571428571428571,0.8888888888888888,Medical,Development,Developer,True,False,False,False,False,False,True,False
45,0,23,2,4,42,3,2,1,1,1,15,3,9,2,3,9,8,0,8,0,3,1.0,0.8888888888888888,Life Sciences,Development,Developer,False,True,True,False,False,False,False,False
47,1,4,2,4,83,3,2,4,1,1,17,3,9,0,3,9,0,0,7,0,3,1.0,0.0,Life Sciences,Sales,Sales Executive,False,False,False,True,False,False,False,True
